year,level_1,level_2,value
2011,Central Police Division - Total,Unlicensed Moneylending,242
2011,Central Police Division - Total,Harassment,484
2011,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,193
2011,Central Police Division - Bukit Merah East NPC,Harassment,286
2011,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,18
2011,Central Police Division - Marina Bay NPC,Harassment,16
2011,Central Police Division - Rochor NPC,Unlicensed Moneylending,31
2011,Central Police Division - Rochor NPC,Harassment,182
2011,Clementi Police Division - Total,Unlicensed Moneylending,195
2011,Clementi Police Division - Total,Harassment,1097
2011,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,40
2011,Clementi Police Division - Bukit Merah West NPC,Harassment,244
2011,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,83
2011,Clementi Police Division - Clementi NPC,Harassment,325
2011,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,42
2011,Clementi Police Division - Jurong East NPC,Harassment,290
2011,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,30
2011,Clementi Police Division - Queenstown NPC,Harassment,238
2011,Tanglin Police Division - Total,Unlicensed Moneylending,163
2011,Tanglin Police Division - Total,Harassment,1193
2011,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,15
2011,Tanglin Police Division - Bishan NPC,Harassment,273
2011,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,10
2011,Tanglin Police Division - Bukit Timah NPC,Harassment,107
2011,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,82
2011,Tanglin Police Division - Kampong Java NPC,Harassment,191
2011,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,5
2011,Tanglin Police Division - Orchard NPC,Harassment,6
2011,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,51
2011,Tanglin Police Division - Toa Payoh NPC,Harassment,616
2011,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,363
2011,Ang Mo Kio Police Division - Total,Harassment,3417
2011,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,156
2011,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,471
2011,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,22
2011,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,422
2011,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,55
2011,Ang Mo Kio Police Division - Hougang NPC,Harassment,790
2011,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,na
2011,Ang Mo Kio Police Division - Punggol NPC,Harassment,na
2011,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,18
2011,Ang Mo Kio Police Division - Sembawang NPC,Harassment,162
2011,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,44
2011,Ang Mo Kio Police Division - Sengkang NPC,Harassment,558
2011,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,19
2011,Ang Mo Kio Police Division - Serangoon NPC,Harassment,375
2011,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,19
2011,Ang Mo Kio Police Division - Yishun North NPC,Harassment,313
2011,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,30
2011,Ang Mo Kio Police Division - Yishun South NPC,Harassment,326
2011,Bedok Police Division - Total,Unlicensed Moneylending,266
2011,Bedok Police Division - Total,Harassment,2676
2011,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,69
2011,Bedok Police Division - Bedok North NPC,Harassment,689
2011,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,27
2011,Bedok Police Division - Bedok South NPC,Harassment,231
2011,Bedok Police Division - Changi NPC,Unlicensed Moneylending,22
2011,Bedok Police Division - Changi NPC,Harassment,310
2011,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,30
2011,Bedok Police Division - Geylang NPC,Harassment,291
2011,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,12
2011,Bedok Police Division - Marine Parade NPC,Harassment,79
2011,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,16
2011,Bedok Police Division - Pasir Ris NPC,Harassment,438
2011,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,90
2011,Bedok Police Division - Tampines NPC,Harassment,638
2011,Jurong Police Division - Total,Unlicensed Moneylending,324
2011,Jurong Police Division - Total,Harassment,2905
2011,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,33
2011,Jurong Police Division - Bukit Batok NPC,Harassment,412
2011,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,20
2011,Jurong Police Division - Bukit Panjang NPC,Harassment,315
2011,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,33
2011,Jurong Police Division - Choa Chu Kang NPC,Harassment,388
2011,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,38
2011,Jurong Police Division - Jurong West NPC,Harassment,451
2011,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,125
2011,Jurong Police Division - Nanyang NPC,Harassment,430
2011,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,75
2011,Jurong Police Division - Woodlands NPC,Harassment,909
2011,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,na
2011,Jurong Police Division - Woodlands East NPC,Harassment,na
2011,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,na
2011,Jurong Police Division - Woodlands West NPC,Harassment,na
2011,Woodlands Police Division - Total,Unlicensed Moneylending,-
2011,Woodlands Police Division - Total,Harassment,-
2011,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Woodlands East NPC,Harassment,-
2011,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Woodlands West NPC,Harassment,-
2011,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Yishun North NPC,Harassment,-
2011,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Yishun South NPC,Harassment,-
2011,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Sembawang NPC,Harassment,-
2012,Central Police Division - Total,Unlicensed Moneylending,66
2012,Central Police Division - Total,Harassment,380
2012,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,34
2012,Central Police Division - Bukit Merah East NPC,Harassment,182
2012,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,4
2012,Central Police Division - Marina Bay NPC,Harassment,18
2012,Central Police Division - Rochor NPC,Unlicensed Moneylending,28
2012,Central Police Division - Rochor NPC,Harassment,180
2012,Clementi Police Division - Total,Unlicensed Moneylending,162
2012,Clementi Police Division - Total,Harassment,901
2012,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,29
2012,Clementi Police Division - Bukit Merah West NPC,Harassment,234
2012,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,77
2012,Clementi Police Division - Clementi NPC,Harassment,185
2012,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,18
2012,Clementi Police Division - Jurong East NPC,Harassment,245
2012,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,38
2012,Clementi Police Division - Queenstown NPC,Harassment,237
2012,Tanglin Police Division - Total,Unlicensed Moneylending,74
2012,Tanglin Police Division - Total,Harassment,621
2012,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,8
2012,Tanglin Police Division - Bishan NPC,Harassment,130
2012,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,5
2012,Tanglin Police Division - Bukit Timah NPC,Harassment,37
2012,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,16
2012,Tanglin Police Division - Kampong Java NPC,Harassment,107
2012,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,5
2012,Tanglin Police Division - Orchard NPC,Harassment,4
2012,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,40
2012,Tanglin Police Division - Toa Payoh NPC,Harassment,343
2012,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,311
2012,Ang Mo Kio Police Division - Total,Harassment,2376
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,74
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,258
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,35
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,311
2012,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,55
2012,Ang Mo Kio Police Division - Hougang NPC,Harassment,542
2012,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,na
2012,Ang Mo Kio Police Division - Punggol NPC,Harassment,na
2012,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,17
2012,Ang Mo Kio Police Division - Sembawang NPC,Harassment,125
2012,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,45
2012,Ang Mo Kio Police Division - Sengkang NPC,Harassment,447
2012,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,16
2012,Ang Mo Kio Police Division - Serangoon NPC,Harassment,226
2012,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,36
2012,Ang Mo Kio Police Division - Yishun North NPC,Harassment,236
2012,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,33
2012,Ang Mo Kio Police Division - Yishun South NPC,Harassment,231
2012,Bedok Police Division - Total,Unlicensed Moneylending,150
2012,Bedok Police Division - Total,Harassment,2186
2012,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,22
2012,Bedok Police Division - Bedok North NPC,Harassment,493
2012,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,17
2012,Bedok Police Division - Bedok South NPC,Harassment,195
2012,Bedok Police Division - Changi NPC,Unlicensed Moneylending,22
2012,Bedok Police Division - Changi NPC,Harassment,270
2012,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,33
2012,Bedok Police Division - Geylang NPC,Harassment,213
2012,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,7
2012,Bedok Police Division - Marine Parade NPC,Harassment,78
2012,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,17
2012,Bedok Police Division - Pasir Ris NPC,Harassment,373
2012,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,32
2012,Bedok Police Division - Tampines NPC,Harassment,564
2012,Jurong Police Division - Total,Unlicensed Moneylending,262
2012,Jurong Police Division - Total,Harassment,2450
2012,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,34
2012,Jurong Police Division - Bukit Batok NPC,Harassment,288
2012,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,22
2012,Jurong Police Division - Bukit Panjang NPC,Harassment,353
2012,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,30
2012,Jurong Police Division - Choa Chu Kang NPC,Harassment,419
2012,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,30
2012,Jurong Police Division - Jurong West NPC,Harassment,324
2012,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,77
2012,Jurong Police Division - Nanyang NPC,Harassment,347
2012,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2012,Jurong Police Division - Woodlands NPC,Harassment,na
2012,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,43
2012,Jurong Police Division - Woodlands East NPC,Harassment,458
2012,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,26
2012,Jurong Police Division - Woodlands West NPC,Harassment,261
2012,Woodlands Police Division - Total,Unlicensed Moneylending,-
2012,Woodlands Police Division - Total,Harassment,-
2012,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2012,Woodlands Police Division - Woodlands East NPC,Harassment,-
2012,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2012,Woodlands Police Division - Woodlands West NPC,Harassment,-
2012,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2012,Woodlands Police Division - Yishun North NPC,Harassment,-
2012,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2012,Woodlands Police Division - Yishun South NPC,Harassment,-
2012,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
2012,Woodlands Police Division - Sembawang NPC,Harassment,-
2013,Central Police Division - Total,Unlicensed Moneylending,136
2013,Central Police Division - Total,Harassment,279
2013,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,117
2013,Central Police Division - Bukit Merah East NPC,Harassment,151
2013,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,6
2013,Central Police Division - Marina Bay NPC,Harassment,12
2013,Central Police Division - Rochor NPC,Unlicensed Moneylending,13
2013,Central Police Division - Rochor NPC,Harassment,116
2013,Clementi Police Division - Total,Unlicensed Moneylending,135
2013,Clementi Police Division - Total,Harassment,710
2013,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,17
2013,Clementi Police Division - Bukit Merah West NPC,Harassment,165
2013,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,69
2013,Clementi Police Division - Clementi NPC,Harassment,163
2013,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,18
2013,Clementi Police Division - Jurong East NPC,Harassment,196
2013,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,31
2013,Clementi Police Division - Queenstown NPC,Harassment,186
2013,Tanglin Police Division - Total,Unlicensed Moneylending,48
2013,Tanglin Police Division - Total,Harassment,477
2013,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,13
2013,Tanglin Police Division - Bishan NPC,Harassment,111
2013,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,1
2013,Tanglin Police Division - Bukit Timah NPC,Harassment,33
2013,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,13
2013,Tanglin Police Division - Kampong Java NPC,Harassment,80
2013,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,4
2013,Tanglin Police Division - Orchard NPC,Harassment,5
2013,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,17
2013,Tanglin Police Division - Toa Payoh NPC,Harassment,248
2013,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,284
2013,Ang Mo Kio Police Division - Total,Harassment,1782
2013,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,92
2013,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,191
2013,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,23
2013,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,172
2013,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,73
2013,Ang Mo Kio Police Division - Hougang NPC,Harassment,433
2013,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,6
2013,Ang Mo Kio Police Division - Punggol NPC,Harassment,122
2013,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,9
2013,Ang Mo Kio Police Division - Sembawang NPC,Harassment,93
2013,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,26
2013,Ang Mo Kio Police Division - Sengkang NPC,Harassment,295
2013,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,10
2013,Ang Mo Kio Police Division - Serangoon NPC,Harassment,126
2013,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,24
2013,Ang Mo Kio Police Division - Yishun North NPC,Harassment,239
2013,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,21
2013,Ang Mo Kio Police Division - Yishun South NPC,Harassment,111
2013,Bedok Police Division - Total,Unlicensed Moneylending,147
2013,Bedok Police Division - Total,Harassment,1769
2013,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,57
2013,Bedok Police Division - Bedok North NPC,Harassment,375
2013,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,10
2013,Bedok Police Division - Bedok South NPC,Harassment,154
2013,Bedok Police Division - Changi NPC,Unlicensed Moneylending,14
2013,Bedok Police Division - Changi NPC,Harassment,254
2013,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,30
2013,Bedok Police Division - Geylang NPC,Harassment,174
2013,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,5
2013,Bedok Police Division - Marine Parade NPC,Harassment,52
2013,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,8
2013,Bedok Police Division - Pasir Ris NPC,Harassment,265
2013,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,23
2013,Bedok Police Division - Tampines NPC,Harassment,495
2013,Jurong Police Division - Total,Unlicensed Moneylending,490
2013,Jurong Police Division - Total,Harassment,2029
2013,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,30
2013,Jurong Police Division - Bukit Batok NPC,Harassment,300
2013,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,23
2013,Jurong Police Division - Bukit Panjang NPC,Harassment,231
2013,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,35
2013,Jurong Police Division - Choa Chu Kang NPC,Harassment,334
2013,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,21
2013,Jurong Police Division - Jurong West NPC,Harassment,309
2013,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,327
2013,Jurong Police Division - Nanyang NPC,Harassment,269
2013,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2013,Jurong Police Division - Woodlands NPC,Harassment,na
2013,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,35
2013,Jurong Police Division - Woodlands East NPC,Harassment,361
2013,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,19
2013,Jurong Police Division - Woodlands West NPC,Harassment,225
2013,Woodlands Police Division - Total,Unlicensed Moneylending,-
2013,Woodlands Police Division - Total,Harassment,-
2013,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Woodlands East NPC,Harassment,-
2013,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Woodlands West NPC,Harassment,-
2013,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Yishun North NPC,Harassment,-
2013,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2013,Woodlands Police Division - Yishun South NPC,Harassment,-
2013,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
