year,level_1,level_2,value
2016,Woodlands Police Division - Sembawang NPC,Harassment,-
2017,Central Police Division - Total,Unlicensed Moneylending,50
2017,Central Police Division - Total,Harassment,135
2017,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,36
2017,Central Police Division - Bukit Merah East NPC,Harassment,67
2017,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,3
2017,Central Police Division - Marina Bay NPC,Harassment,17
2017,Central Police Division - Rochor NPC,Unlicensed Moneylending,11
2017,Central Police Division - Rochor NPC,Harassment,51
2017,Clementi Police Division - Total,Unlicensed Moneylending,55
2017,Clementi Police Division - Total,Harassment,336
2017,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,7
2017,Clementi Police Division - Bukit Merah West NPC,Harassment,79
2017,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,32
2017,Clementi Police Division - Clementi NPC,Harassment,89
2017,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,10
2017,Clementi Police Division - Jurong East NPC,Harassment,90
2017,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,6
2017,Clementi Police Division - Queenstown NPC,Harassment,78
2017,Tanglin Police Division - Total,Unlicensed Moneylending,46
2017,Tanglin Police Division - Total,Harassment,327
2017,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,11
2017,Tanglin Police Division - Bishan NPC,Harassment,78
2017,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,6
2017,Tanglin Police Division - Bukit Timah NPC,Harassment,38
2017,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,16
2017,Tanglin Police Division - Kampong Java NPC,Harassment,46
2017,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,3
2017,Tanglin Police Division - Orchard NPC,Harassment,30
2017,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,10
2017,Tanglin Police Division - Toa Payoh NPC,Harassment,135
2017,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,124
2017,Ang Mo Kio Police Division - Total,Harassment,1183
2017,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,39
2017,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,124
2017,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,9
2017,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,96
2017,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,23
2017,Ang Mo Kio Police Division - Hougang NPC,Harassment,161
2017,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,8
2017,Ang Mo Kio Police Division - Punggol NPC,Harassment,151
2017,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,9
2017,Ang Mo Kio Police Division - Sembawang NPC,Harassment,74
2017,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,14
2017,Ang Mo Kio Police Division - Sengkang NPC,Harassment,191
2017,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,1
2017,Ang Mo Kio Police Division - Serangoon NPC,Harassment,67
2017,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,14
2017,Ang Mo Kio Police Division - Yishun North NPC,Harassment,223
2017,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,7
2017,Ang Mo Kio Police Division - Yishun South NPC,Harassment,96
2017,Bedok Police Division - Total,Unlicensed Moneylending,194
2017,Bedok Police Division - Total,Harassment,750
2017,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,63
2017,Bedok Police Division - Bedok North NPC,Harassment,133
2017,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,12
2017,Bedok Police Division - Bedok South NPC,Harassment,86
2017,Bedok Police Division - Changi NPC,Unlicensed Moneylending,18
2017,Bedok Police Division - Changi NPC,Harassment,120
2017,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,26
2017,Bedok Police Division - Geylang NPC,Harassment,102
2017,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,16
2017,Bedok Police Division - Marine Parade NPC,Harassment,59
2017,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,21
2017,Bedok Police Division - Pasir Ris NPC,Harassment,92
2017,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,38
2017,Bedok Police Division - Tampines NPC,Harassment,158
2017,Jurong Police Division - Total,Unlicensed Moneylending,143
2017,Jurong Police Division - Total,Harassment,1083
2017,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,29
2017,Jurong Police Division - Bukit Batok NPC,Harassment,134
2017,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,17
2017,Jurong Police Division - Bukit Panjang NPC,Harassment,121
2017,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,19
2017,Jurong Police Division - Choa Chu Kang NPC,Harassment,176
2017,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,22
2017,Jurong Police Division - Jurong West NPC,Harassment,177
2017,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,28
2017,Jurong Police Division - Nanyang NPC,Harassment,165
2017,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2017,Jurong Police Division - Woodlands NPC,Harassment,na
2017,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,21
2017,Jurong Police Division - Woodlands East NPC,Harassment,188
2017,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,7
2017,Jurong Police Division - Woodlands West NPC,Harassment,122
2017,Woodlands Police Division - Total,Unlicensed Moneylending,-
2017,Woodlands Police Division - Total,Harassment,-
2017,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2017,Woodlands Police Division - Woodlands East NPC,Harassment,-
2017,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2017,Woodlands Police Division - Woodlands West NPC,Harassment,-
2017,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2017,Woodlands Police Division - Yishun North NPC,Harassment,-
2017,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2017,Woodlands Police Division - Yishun South NPC,Harassment,-
2017,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
2017,Woodlands Police Division - Sembawang NPC,Harassment,-
2018,Central Police Division - Total,Unlicensed Moneylending,62
2018,Central Police Division - Total,Harassment,168
2018,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,50
2018,Central Police Division - Bukit Merah East NPC,Harassment,75
2018,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,0
2018,Central Police Division - Marina Bay NPC,Harassment,26
2018,Central Police Division - Rochor NPC,Unlicensed Moneylending,12
2018,Central Police Division - Rochor NPC,Harassment,67
2018,Clementi Police Division - Total,Unlicensed Moneylending,42
2018,Clementi Police Division - Total,Harassment,408
2018,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,7
2018,Clementi Police Division - Bukit Merah West NPC,Harassment,83
2018,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,22
2018,Clementi Police Division - Clementi NPC,Harassment,110
2018,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,5
2018,Clementi Police Division - Jurong East NPC,Harassment,103
2018,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,8
2018,Clementi Police Division - Queenstown NPC,Harassment,112
2018,Tanglin Police Division - Total,Unlicensed Moneylending,29
2018,Tanglin Police Division - Total,Harassment,517
2018,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,3
2018,Tanglin Police Division - Bishan NPC,Harassment,93
2018,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,1
2018,Tanglin Police Division - Bukit Timah NPC,Harassment,97
2018,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,14
2018,Tanglin Police Division - Kampong Java NPC,Harassment,87
2018,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,1
2018,Tanglin Police Division - Orchard NPC,Harassment,56
2018,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,10
2018,Tanglin Police Division - Toa Payoh NPC,Harassment,184
2018,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,127
2018,Ang Mo Kio Police Division - Total,Harassment,1248
2018,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,37
2018,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,129
2018,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,6
2018,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,84
2018,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,20
2018,Ang Mo Kio Police Division - Hougang NPC,Harassment,178
2018,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,8
2018,Ang Mo Kio Police Division - Punggol NPC,Harassment,169
2018,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,3
2018,Ang Mo Kio Police Division - Sembawang NPC,Harassment,79
2018,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,20
2018,Ang Mo Kio Police Division - Sengkang NPC,Harassment,229
2018,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,4
2018,Ang Mo Kio Police Division - Serangoon NPC,Harassment,91
2018,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,18
2018,Ang Mo Kio Police Division - Yishun North NPC,Harassment,208
2018,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,11
2018,Ang Mo Kio Police Division - Yishun South NPC,Harassment,81
2018,Bedok Police Division - Total,Unlicensed Moneylending,157
2018,Bedok Police Division - Total,Harassment,783
2018,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,41
2018,Bedok Police Division - Bedok North NPC,Harassment,119
2018,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,12
2018,Bedok Police Division - Bedok South NPC,Harassment,148
2018,Bedok Police Division - Changi NPC,Unlicensed Moneylending,17
2018,Bedok Police Division - Changi NPC,Harassment,117
2018,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,23
2018,Bedok Police Division - Geylang NPC,Harassment,127
2018,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,7
2018,Bedok Police Division - Marine Parade NPC,Harassment,64
2018,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,21
2018,Bedok Police Division - Pasir Ris NPC,Harassment,122
2018,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,36
2018,Bedok Police Division - Tampines NPC,Harassment,86
2018,Jurong Police Division - Total,Unlicensed Moneylending,144
2018,Jurong Police Division - Total,Harassment,1359
2018,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,14
2018,Jurong Police Division - Bukit Batok NPC,Harassment,166
2018,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,23
2018,Jurong Police Division - Bukit Panjang NPC,Harassment,197
2018,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,16
2018,Jurong Police Division - Choa Chu Kang NPC,Harassment,208
2018,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,18
2018,Jurong Police Division - Jurong West NPC,Harassment,201
2018,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,42
2018,Jurong Police Division - Nanyang NPC,Harassment,236
2018,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2018,Jurong Police Division - Woodlands NPC,Harassment,na
2018,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,20
2018,Jurong Police Division - Woodlands East NPC,Harassment,224
2018,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,11
2018,Jurong Police Division - Woodlands West NPC,Harassment,127
2018,Woodlands Police Division - Total,Unlicensed Moneylending,2
2018,Woodlands Police Division - Total,Harassment,124
2018,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,1
2018,Woodlands Police Division - Woodlands East NPC,Harassment,32
2018,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,0
2018,Woodlands Police Division - Woodlands West NPC,Harassment,17
2018,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,1
2018,Woodlands Police Division - Yishun North NPC,Harassment,36
2018,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,0
2018,Woodlands Police Division - Yishun South NPC,Harassment,19
2018,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,0
2018,Woodlands Police Division - Sembawang NPC,Harassment,20
2019,Central Police Division - Total,Unlicensed Moneylending,102
2019,Central Police Division - Total,Harassment,209
2019,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,76
2019,Central Police Division - Bukit Merah East NPC,Harassment,92
2019,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,6
2019,Central Police Division - Marina Bay NPC,Harassment,24
2019,Central Police Division - Rochor NPC,Unlicensed Moneylending,20
2019,Central Police Division - Rochor NPC,Harassment,93
2019,Clementi Police Division - Total,Unlicensed Moneylending,47
2019,Clementi Police Division - Total,Harassment,544
2019,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,9
2019,Clementi Police Division - Bukit Merah West NPC,Harassment,100
2019,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,25
2019,Clementi Police Division - Clementi NPC,Harassment,167
2019,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,7
2019,Clementi Police Division - Jurong East NPC,Harassment,155
2019,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,6
2019,Clementi Police Division - Queenstown NPC,Harassment,122
2019,Tanglin Police Division - Total,Unlicensed Moneylending,37
2019,Tanglin Police Division - Total,Harassment,524
2019,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,8
2019,Tanglin Police Division - Bishan NPC,Harassment,99
2019,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,5
2019,Tanglin Police Division - Bukit Timah NPC,Harassment,82
2019,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,13
2019,Tanglin Police Division - Kampong Java NPC,Harassment,102
2019,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,4
2019,Tanglin Police Division - Orchard NPC,Harassment,46
2019,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,7
2019,Tanglin Police Division - Toa Payoh NPC,Harassment,195
2019,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,118
2019,Ang Mo Kio Police Division - Total,Harassment,944
2019,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,47
2019,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,129
2019,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,5
2019,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,112
2019,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,18
2019,Ang Mo Kio Police Division - Hougang NPC,Harassment,201
2019,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,24
2019,Ang Mo Kio Police Division - Punggol NPC,Harassment,201
2019,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,na
2019,Ang Mo Kio Police Division - Sembawang NPC,Harassment,na
2019,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,20
2019,Ang Mo Kio Police Division - Sengkang NPC,Harassment,204
2019,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,4
2019,Ang Mo Kio Police Division - Serangoon NPC,Harassment,97
2019,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,na
2019,Ang Mo Kio Police Division - Yishun North NPC,Harassment,na
2019,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,na
2019,Ang Mo Kio Police Division - Yishun South NPC,Harassment,na
2019,Bedok Police Division - Total,Unlicensed Moneylending,134
2019,Bedok Police Division - Total,Harassment,920
2019,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,44
2019,Bedok Police Division - Bedok North NPC,Harassment,171
2019,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,12
2019,Bedok Police Division - Bedok South NPC,Harassment,152
2019,Bedok Police Division - Changi NPC,Unlicensed Moneylending,8
2019,Bedok Police Division - Changi NPC,Harassment,105
2019,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,16
2019,Bedok Police Division - Geylang NPC,Harassment,165
2019,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,15
2019,Bedok Police Division - Marine Parade NPC,Harassment,59
2019,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,21
2019,Bedok Police Division - Pasir Ris NPC,Harassment,176
2019,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,18
2019,Bedok Police Division - Tampines NPC,Harassment,92
2019,Jurong Police Division - Total,Unlicensed Moneylending,201
2019,Jurong Police Division - Total,Harassment,1041
2019,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,41
2019,Jurong Police Division - Bukit Batok NPC,Harassment,185
2019,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,21
2019,Jurong Police Division - Bukit Panjang NPC,Harassment,168
2019,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,25
2019,Jurong Police Division - Choa Chu Kang NPC,Harassment,265
2019,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,41
2019,Jurong Police Division - Jurong West NPC,Harassment,205
2019,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,73
2019,Jurong Police Division - Nanyang NPC,Harassment,218
2019,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,na
2019,Jurong Police Division - Woodlands NPC,Harassment,na
2019,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,na
2019,Jurong Police Division - Woodlands East NPC,Harassment,na
2019,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,na
2019,Jurong Police Division - Woodlands West NPC,Harassment,na
2019,Woodlands Police Division - Total,Unlicensed Moneylending,110
2019,Woodlands Police Division - Total,Harassment,1096
2019,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,14
2019,Woodlands Police Division - Woodlands East NPC,Harassment,284
2019,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,66
2019,Woodlands Police Division - Woodlands West NPC,Harassment,187
2019,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,16
2019,Woodlands Police Division - Yishun North NPC,Harassment,291
2019,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,6
2019,Woodlands Police Division - Yishun South NPC,Harassment,142
2019,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,8
2019,Woodlands Police Division - Sembawang NPC,Harassment,192